project_full_name,fix_commit_hash,buggy_commit_hash,bug_id,bug_type,number_loc_added,number_loc_deleted
qulacs/qulacs,e6b55618d0955136a19b16cdd37a4fe5ff893d8b,e6b55618d0955136a19b16cdd37a4fe5ff893d8b^1,1803,Classical,55,28
qulacs/qulacs,3a22870a2217e756c4b73602930af0fc5d07c10b,3a22870a2217e756c4b73602930af0fc5d07c10b^1,1808,Classical,1,
qulacs/qulacs,ae8299f5eae4c83b1741bb9c683802ceb49cf4ef,ae8299f5eae4c83b1741bb9c683802ceb49cf4ef^1,1814,Quantum,78,10
qulacs/qulacs,ae8299f5eae4c83b1741bb9c683802ceb49cf4ef,ae8299f5eae4c83b1741bb9c683802ceb49cf4ef^1,1814-5,Quantum,78,10
xanaduai/strawberryfields,dd7668c30c0e20730ea1d80cab91c7247e71af5f,dd7668c30c0e20730ea1d80cab91c7247e71af5f^1,1820,Quantum,29,11
xanaduai/strawberryfields,098caa660133c6bcdb357c2599e4a561100c5686,098caa660133c6bcdb357c2599e4a561100c5686^1,1828,Classical,49,44
xanaduai/strawberryfields,5ecac45f620bb9769b2e2ab4ea9d456459b96131,5ecac45f620bb9769b2e2ab4ea9d456459b96131^1,1829,Classical,173,223
Qiskit/qiskit-terra,8c80c6edaf0d56a756bcef3aeee6d04196e8fa04,8c80c6edaf0d56a756bcef3aeee6d04196e8fa04^1,183,Classical,4,3
xanaduai/strawberryfields,5da0791d293655251bf67481aa8657315899af8d,5da0791d293655251bf67481aa8657315899af8d^1,1836,Quantum,15,24
xanaduai/strawberryfields,bcbafdd6c98dee67f4a1e3265a1a9c6a6117c81d,bcbafdd6c98dee67f4a1e3265a1a9c6a6117c81d^1,1839,Quantum,9,4
xanaduai/strawberryfields,a168124c8fc5a51e99e8808e756b7fbd678be9bd,a168124c8fc5a51e99e8808e756b7fbd678be9bd^1,1846,Classical,3,4
xanaduai/strawberryfields,beb7500622712186a9bf7f27fd3d8f354ac17d35,beb7500622712186a9bf7f27fd3d8f354ac17d35^1,1847,Classical,1,1
xanaduai/strawberryfields,19b6b634e54fc612e9b92673dd25d2c3e25a09f5,19b6b634e54fc612e9b92673dd25d2c3e25a09f5^1,1851,Classical,11,
xanaduai/strawberryfields,2e6d558e92bcd28da0ac76d88a7eb6d59667cc69,2e6d558e92bcd28da0ac76d88a7eb6d59667cc69^1,1854,Classical,268,156
xanaduai/strawberryfields,2e6d558e92bcd28da0ac76d88a7eb6d59667cc69,2e6d558e92bcd28da0ac76d88a7eb6d59667cc69^1,1854-5,Quantum,268,156
xanaduai/strawberryfields,c7173f9052a1166bc1a205141033e98331cf0de9,c7173f9052a1166bc1a205141033e98331cf0de9^1,1858,Classical,54,9
xanaduai/strawberryfields,6fd7aaa2332eb2d283034b03984acaeb06e785ac,6fd7aaa2332eb2d283034b03984acaeb06e785ac^1,1860,Classical,6,4
xanaduai/strawberryfields,45309dcad0133d2c59a91c09ab294bef29a7a621,45309dcad0133d2c59a91c09ab294bef29a7a621^1,1864,Quantum,122,81
eclipse/xacc,c334829352fc2b490c407b6a09fb767a16516bbf,c334829352fc2b490c407b6a09fb767a16516bbf^1,1869,Quantum,19,2
eclipse/xacc,f1703607ca637c111ad362442ca2209354ff79a0,f1703607ca637c111ad362442ca2209354ff79a0^1,1876,Quantum,24,20
eclipse/xacc,e980988e148243ed5d650317cad2870c6985f2ae,e980988e148243ed5d650317cad2870c6985f2ae^1,1878,Classical,3,
eclipse/xacc,05f379494b78ad5d8b6fcd0d924b3ac6aa5be92b,05f379494b78ad5d8b6fcd0d924b3ac6aa5be92b^1,1879,Quantum,248,29
eclipse/xacc,9ca1673602ff7245c026954e536247d2bd0fa5f3,9ca1673602ff7245c026954e536247d2bd0fa5f3^1,1882,Classical,14,4
eclipse/xacc,9898fb896b1f94d93050f622b27271aad3894a18,9898fb896b1f94d93050f622b27271aad3894a18^1,1883,Quantum,4,2
eclipse/xacc,6e3d93f05c64b006c12ebce275e76fe29e5de1c4,6e3d93f05c64b006c12ebce275e76fe29e5de1c4^1,1894,Classical,26,16
eclipse/xacc,2e07972790dccbdf911a0733a8686fd7c99304c3,2e07972790dccbdf911a0733a8686fd7c99304c3^1,1896,Classical,32,5
eclipse/xacc,1d88e375a1ece7e7a45a75f052016869964f7659,1d88e375a1ece7e7a45a75f052016869964f7659^1,1897,Classical,7,3
eclipse/xacc,771e4f8ab46e7b29204d87541da34b76b081e855,771e4f8ab46e7b29204d87541da34b76b081e855^1,1900,Quantum,106,78
eclipse/xacc,771e4f8ab46e7b29204d87541da34b76b081e855,771e4f8ab46e7b29204d87541da34b76b081e855^1,1900-5,Quantum,106,78
eclipse/xacc,faa563a831f380141b840f561fc46145d038ac65,faa563a831f380141b840f561fc46145d038ac65^1,1908,Classical,12,
eclipse/xacc,ad39126c9b6a835a88d6113fbf75d4ef5e590627,ad39126c9b6a835a88d6113fbf75d4ef5e590627^1,1909,Classical,5,4
eclipse/xacc,ad39126c9b6a835a88d6113fbf75d4ef5e590627,ad39126c9b6a835a88d6113fbf75d4ef5e590627^1,1909-5,Classical,5,4
eclipse/xacc,e5252e7a6560b83a12cd50bf59d839596c2939a7,e5252e7a6560b83a12cd50bf59d839596c2939a7^1,1911,Quantum,85,1
eclipse/xacc,660c9125e0c4f1e6c833b5f2fba218be5350109c,660c9125e0c4f1e6c833b5f2fba218be5350109c^1,1915,Classical,36,
eclipse/xacc,31b22ebe4608f1a1dbe60c99870af30cd6e15092,31b22ebe4608f1a1dbe60c99870af30cd6e15092^1,1917,Classical,8,
eclipse/xacc,c60662652b46f30b791aeef0ac0728d27d125ce6,c60662652b46f30b791aeef0ac0728d27d125ce6^1,1918,Classical,9,1
rigetti/pyquil,b6ef90d22065c0b9c87788477a04f8b38f56c2eb,b6ef90d22065c0b9c87788477a04f8b38f56c2eb^1,1928,Classical,3,3
rigetti/pyquil,92cb256530f4793fee007b6c1e8c9db4a22a1a7f,92cb256530f4793fee007b6c1e8c9db4a22a1a7f^1,1936,Classical,783,787
rigetti/pyquil,c147eb4f9417af72b5f396b2859506524ecf5bf4,c147eb4f9417af72b5f396b2859506524ecf5bf4^1,1959,Quantum,75,36
rigetti/pyquil,604bf264ef522f721aa2ab7ee36dd007e095f732,604bf264ef522f721aa2ab7ee36dd007e095f732^1,1988,Quantum,34,20
rigetti/pyquil,adf04c9b1aa074c67bb34ea06d7f18ee06bbdfd7,adf04c9b1aa074c67bb34ea06d7f18ee06bbdfd7^1,1991,Classical,19,11
rigetti/pyquil,b9f050c6e33a036c10d6f984c3f0b0f29836d2e0,b9f050c6e33a036c10d6f984c3f0b0f29836d2e0^1,2004,Classical,101,20
rigetti/pyquil,58965c33b8314cda119ff36e46b705a03835d397,58965c33b8314cda119ff36e46b705a03835d397^1,2005,Quantum,20,2
rigetti/pyquil,75a7c7428235e017ac6740e804cce64057bc3a95,75a7c7428235e017ac6740e804cce64057bc3a95^1,2007,Classical,9,6
